uid,datetime,type,value
681,2025-05-22 09:15:00,screen,on
671,2025-05-22 09:16:44,screen,on
671,2025-05-22 09:22:05,screen,off
671,2025-05-22 09:27:06,screen,on
671,2025-05-22 09:28:45,screen,off
678,2025-05-22 09:30:16,screen,off
668,2025-05-22 09:31:07,screen,on
668,2025-05-22 09:31:13,screen,off
678,2025-05-22 09:32:22,screen,on
678,2025-05-22 09:32:53,screen,off
678,2025-05-22 09:32:54,screen,on
678,2025-05-22 09:33:43,screen,off
681,2025-05-22 09:38:00,screen,off
681,2025-05-22 09:39:22,screen,on
678,2025-05-22 09:39:31,screen,on
678,2025-05-22 09:40:03,screen,off
678,2025-05-22 09:41:16,screen,on
681,2025-05-22 09:44:49,screen,off
678,2025-05-22 09:46:55,screen,off
681,2025-05-22 09:50:54,screen,on
681,2025-05-22 09:51:05,screen,off
670,2025-05-22 09:52:38,screen,on
670,2025-05-22 09:53:02,screen,off
678,2025-05-22 09:53:02,screen,on
678,2025-05-22 09:54:18,screen,off
678,2025-05-22 09:54:18,screen,on
678,2025-05-22 09:54:49,screen,off
681,2025-05-22 09:58:34,screen,on
678,2025-05-22 10:00:16,screen,on
687,2025-05-22 10:01:32,screen,on
687,2025-05-22 10:01:41,screen,off
687,2025-05-22 10:06:08,screen,on
687,2025-05-22 10:10:13,screen,off
687,2025-05-22 10:11:07,screen,on
668,2025-05-22 10:11:32,screen,on
668,2025-05-22 10:11:34,screen,off
668,2025-05-22 10:11:42,screen,on
687,2025-05-22 10:11:44,screen,off
668,2025-05-22 10:11:51,screen,off
668,2025-05-22 10:11:59,screen,on
687,2025-05-22 10:14:51,screen,on
687,2025-05-22 10:14:56,screen,off
668,2025-05-22 10:15:05,screen,off
668,2025-05-22 10:15:07,screen,on
670,2025-05-22 10:15:23,screen,on
670,2025-05-22 10:15:38,screen,off
687,2025-05-22 10:16:17,screen,on
687,2025-05-22 10:16:43,screen,off
687,2025-05-22 10:19:45,screen,on
687,2025-05-22 10:19:49,screen,off
681,2025-05-22 10:20:40,screen,off
681,2025-05-22 10:20:53,screen,on
671,2025-05-22 10:26:41,screen,on
678,2025-05-22 10:26:43,screen,on
678,2025-05-22 10:26:57,screen,on
671,2025-05-22 10:27:02,screen,off
676,2025-05-22 10:32:01,screen,on
678,2025-05-22 10:32:22,screen,off
678,2025-05-22 10:32:35,screen,on
678,2025-05-22 10:32:41,screen,off
670,2025-05-22 10:34:23,screen,on
670,2025-05-22 10:34:30,screen,off
670,2025-05-22 10:39:19,screen,on
678,2025-05-22 10:41:10,screen,on
678,2025-05-22 10:41:15,screen,off
678,2025-05-22 10:41:23,screen,on
670,2025-05-22 10:44:22,screen,off
678,2025-05-22 10:44:48,screen,off
678,2025-05-22 10:44:58,screen,on
670,2025-05-22 10:45:04,screen,on
678,2025-05-22 10:45:11,screen,off
678,2025-05-22 10:45:26,screen,on
670,2025-05-22 10:45:32,screen,off
678,2025-05-22 10:45:35,screen,off
676,2025-05-22 10:46:35,screen,off
670,2025-05-22 10:46:40,screen,on
671,2025-05-22 10:47:32,screen,on
670,2025-05-22 10:47:32,screen,off
671,2025-05-22 10:47:36,screen,off
671,2025-05-22 10:47:41,screen,on
687,2025-05-22 10:47:42,screen,on
678,2025-05-22 10:48:28,screen,off
678,2025-05-22 10:48:39,screen,on
678,2025-05-22 10:48:58,screen,off
676,2025-05-22 10:49:01,screen,on
678,2025-05-22 10:49:24,screen,on
678,2025-05-22 10:49:30,screen,off
678,2025-05-22 10:49:56,screen,on
678,2025-05-22 10:49:58,screen,off
678,2025-05-22 10:50:06,screen,on
687,2025-05-22 10:50:11,screen,off
678,2025-05-22 10:50:12,screen,off
687,2025-05-22 10:51:06,screen,on
687,2025-05-22 10:51:11,screen,off
678,2025-05-22 10:52:20,screen,on
687,2025-05-22 10:52:45,screen,on
678,2025-05-22 10:52:49,screen,off
687,2025-05-22 10:53:12,screen,off
678,2025-05-22 10:53:47,screen,on
678,2025-05-22 10:53:54,screen,off
687,2025-05-22 10:56:29,screen,on
678,2025-05-22 10:58:02,screen,on
671,2025-05-22 10:58:43,screen,off
687,2025-05-22 10:59:10,screen,off
687,2025-05-22 10:59:51,screen,on
687,2025-05-22 11:00:09,screen,off
687,2025-05-22 11:01:36,screen,on
687,2025-05-22 11:02:07,screen,off
687,2025-05-22 11:04:40,screen,on
687,2025-05-22 11:05:17,screen,off
687,2025-05-22 11:05:40,screen,on
687,2025-05-22 11:08:11,screen,off
671,2025-05-22 11:08:25,screen,on
687,2025-05-22 11:09:17,screen,on
687,2025-05-22 11:09:21,screen,off
687,2025-05-22 11:09:21,screen,on
687,2025-05-22 11:09:33,screen,off
687,2025-05-22 11:09:47,screen,on
687,2025-05-22 11:09:49,screen,off
687,2025-05-22 11:10:29,screen,on
687,2025-05-22 11:11:31,screen,off
678,2025-05-22 11:11:41,screen,off
681,2025-05-22 11:12:01,screen,off
681,2025-05-22 11:12:41,screen,on
681,2025-05-22 11:12:43,screen,off
681,2025-05-22 11:13:06,screen,on
681,2025-05-22 11:13:09,screen,off
678,2025-05-22 11:13:25,screen,on
681,2025-05-22 11:13:31,screen,on
681,2025-05-22 11:13:33,screen,off
678,2025-05-22 11:13:34,screen,off
668,2025-05-22 11:14:24,screen,off
671,2025-05-22 11:14:36,screen,off
687,2025-05-22 11:14:49,screen,on
687,2025-05-22 11:16:08,screen,off
668,2025-05-22 11:16:11,screen,on
668,2025-05-22 11:16:17,screen,off
668,2025-05-22 11:16:18,screen,on
676,2025-05-22 11:16:40,screen,off
678,2025-05-22 11:17:21,screen,on
678,2025-05-22 11:17:26,screen,off
678,2025-05-22 11:17:27,screen,on
678,2025-05-22 11:17:47,screen,off
676,2025-05-22 11:18:05,screen,on
687,2025-05-22 11:18:24,screen,on
687,2025-05-22 11:19:07,screen,off
670,2025-05-22 11:20:09,screen,on
670,2025-05-22 11:20:35,screen,off
687,2025-05-22 11:20:46,screen,on
687,2025-05-22 11:23:24,screen,off
687,2025-05-22 11:24:51,screen,on
687,2025-05-22 11:25:34,screen,off
670,2025-05-22 11:25:54,screen,on
671,2025-05-22 11:26:21,screen,on
670,2025-05-22 11:26:51,screen,off
687,2025-05-22 11:27:08,screen,on
668,2025-05-22 11:27:26,screen,off
670,2025-05-22 11:28:04,screen,on
687,2025-05-22 11:28:50,screen,off
687,2025-05-22 11:30:04,screen,on
687,2025-05-22 11:30:11,screen,off
670,2025-05-22 11:30:15,screen,off
676,2025-05-22 11:31:26,screen,off
676,2025-05-22 11:32:44,screen,on
670,2025-05-22 11:33:26,screen,on
687,2025-05-22 11:33:34,screen,on
681,2025-05-22 11:33:50,screen,on
670,2025-05-22 11:35:52,screen,off
676,2025-05-22 11:36:18,screen,off
670,2025-05-22 11:36:38,screen,on
687,2025-05-22 11:37:23,screen,off
687,2025-05-22 11:37:53,screen,on
670,2025-05-22 11:38:22,screen,off
687,2025-05-22 11:38:45,screen,off
