datetime,value,uid,type
2025-05-24 19:32:00,11.533333333333333,681,light
2025-05-24 19:33:00,12.466666666666667,681,light
2025-05-24 19:34:00,13.4,681,light
2025-05-24 19:35:00,14.333333333333334,681,light
2025-05-24 19:36:00,15.266666666666667,681,light
2025-05-24 19:37:00,16.2,681,light
2025-05-24 19:38:00,17.133333333333333,681,light
2025-05-24 19:39:00,18.066666666666666,681,light
2025-05-24 19:40:00,19.0,681,light
2025-05-24 19:41:00,17.8,681,light
2025-05-24 19:42:00,16.6,681,light
2025-05-24 19:43:00,15.4,681,light
2025-05-24 19:44:00,14.2,681,light
2025-05-24 19:45:00,13.0,681,light
2025-05-24 19:46:00,11.8,681,light
2025-05-24 19:47:00,10.6,681,light
2025-05-24 19:48:00,9.4,681,light
2025-05-24 19:49:00,8.200000000000001,681,light
2025-05-24 19:50:00,7.0,681,light
2025-05-24 19:51:00,5.800000000000001,681,light
2025-05-24 19:52:00,4.600000000000001,681,light
2025-05-24 19:53:00,3.4000000000000004,681,light
2025-05-24 19:54:00,2.1999999999999993,681,light
2025-05-24 19:55:00,1.0,681,light
2025-05-24 19:56:00,1.0,681,light
2025-05-24 19:57:00,1.0,681,light
2025-05-24 19:58:00,1.0,681,light
2025-05-24 19:59:00,1.0,681,light
2025-05-24 20:00:00,1.0,681,light
2025-05-24 20:01:00,1.0,681,light
2025-05-24 20:02:00,1.0,681,light
2025-05-24 20:03:00,1.0,681,light
2025-05-24 20:04:00,1.0,681,light
2025-05-24 20:05:00,1.0,681,light
2025-05-24 20:06:00,1.0,681,light
2025-05-24 20:07:00,1.0,681,light
2025-05-24 20:08:00,1.0,681,light
2025-05-24 20:09:00,1.0,681,light
2025-05-24 20:10:00,1.0,681,light
2025-05-24 20:11:00,1.0,681,light
2025-05-24 20:12:00,1.0,681,light
2025-05-24 20:13:00,1.0,681,light
2025-05-24 20:14:00,1.0,681,light
2025-05-24 20:15:00,1.0,681,light
2025-05-24 20:16:00,1.0,681,light
2025-05-24 20:17:00,1.0,681,light
2025-05-24 20:18:00,1.0,681,light
2025-05-24 20:19:00,1.0,681,light
2025-05-24 20:20:00,1.0,681,light
2025-05-24 20:21:00,1.0,681,light
2025-05-24 20:22:00,1.0,681,light
2025-05-24 20:23:00,1.0,681,light
2025-05-24 20:24:00,1.0,681,light
2025-05-24 20:25:00,1.0,681,light
2025-05-24 20:26:00,1.0,681,light
2025-05-24 20:27:00,1.0,681,light
2025-05-24 20:28:00,1.0,681,light
2025-05-24 20:29:00,0.9333333333333333,681,light
2025-05-24 20:30:00,0.8666666666666667,681,light
2025-05-24 20:31:00,0.8,681,light
2025-05-24 20:32:00,0.7333333333333334,681,light
2025-05-24 20:33:00,0.6666666666666667,681,light
2025-05-24 20:34:00,0.6,681,light
2025-05-24 20:35:00,0.5333333333333333,681,light
2025-05-24 20:36:00,0.4666666666666667,681,light
2025-05-24 20:37:00,0.4,681,light
2025-05-24 20:38:00,0.33333333333333337,681,light
2025-05-24 20:39:00,0.2666666666666667,681,light
2025-05-24 20:40:00,0.19999999999999996,681,light
2025-05-24 20:41:00,0.1333333333333333,681,light
2025-05-24 20:42:00,0.06666666666666665,681,light
2025-05-24 20:43:00,0.0,681,light
2025-05-24 20:44:00,0.16129032258064516,681,light
2025-05-24 20:45:00,0.3225806451612903,681,light
2025-05-24 20:46:00,0.4838709677419355,681,light
2025-05-24 20:47:00,0.6451612903225806,681,light
2025-05-24 20:48:00,0.8064516129032258,681,light
2025-05-24 20:49:00,0.967741935483871,681,light
2025-05-24 20:50:00,1.129032258064516,681,light
2025-05-24 20:51:00,1.2903225806451613,681,light
2025-05-24 20:52:00,1.4516129032258065,681,light
2025-05-24 20:53:00,1.6129032258064515,681,light
2025-05-24 20:54:00,1.7741935483870968,681,light
2025-05-24 20:55:00,1.935483870967742,681,light
2025-05-24 20:56:00,2.096774193548387,681,light
2025-05-24 20:57:00,2.258064516129032,681,light
2025-05-24 20:58:00,2.4193548387096775,681,light
2025-05-24 20:59:00,2.5806451612903225,681,light
2025-05-24 21:00:00,2.7419354838709675,681,light
2025-05-24 21:01:00,2.903225806451613,681,light
2025-05-24 21:02:00,3.064516129032258,681,light
2025-05-24 21:03:00,3.225806451612903,681,light
2025-05-24 21:04:00,3.3870967741935485,681,light
2025-05-24 21:05:00,3.5483870967741935,681,light
2025-05-24 21:06:00,3.7096774193548385,681,light
2025-05-24 21:07:00,3.870967741935484,681,light
2025-05-24 21:08:00,4.032258064516129,681,light
2025-05-24 21:09:00,4.193548387096774,681,light
2025-05-24 21:10:00,4.354838709677419,681,light
2025-05-24 21:11:00,4.516129032258064,681,light
2025-05-24 21:12:00,4.67741935483871,681,light
2025-05-24 21:13:00,4.838709677419355,681,light
2025-05-24 21:14:00,5.0,681,light
