uid,datetime,type,sub_type,suuid,value,level,sensor_status
678,2025-05-14 15:25:00,calls,1,802cd306-038c-46b7-bee0-6ec6d31538f9,31,31.0,INCOMING
670,2025-05-14 16:27:00,calls,1,98715118-64db-44f4-aebd-d391d06eada4,38,38.0,INCOMING
685,2025-05-14 16:30:00,calls,2,1116526f-168c-4254-a709-a6b6540eaa03,0,0.0,OUTGOING
685,2025-05-14 16:36:00,calls,1,1116526f-168c-4254-a709-a6b6540eaa03,251,251.0,INCOMING
685,2025-05-14 16:42:00,calls,2,039a8e80-1237-442c-a4b6-b9b4acb6ad13,0,0.0,OUTGOING
685,2025-05-14 16:45:00,calls,1,039a8e80-1237-442c-a4b6-b9b4acb6ad13,220,220.0,INCOMING
685,2025-05-14 16:49:00,calls,2,109bfddc-c0a1-48d3-95ac-d56cda1dd4f2,0,0.0,OUTGOING
687,2025-05-14 17:09:00,calls,1,2db4aa8f-fc12-4235-bef8-ea1563099139,26,26.0,INCOMING
687,2025-05-14 17:31:00,calls,2,a1945f2c-5a5b-483a-a6a0-25dda45e6e80,1169,1169.0,OUTGOING
687,2025-05-14 17:51:00,calls,2,2db4aa8f-fc12-4235-bef8-ea1563099139,0,0.0,OUTGOING
687,2025-05-14 17:52:00,calls,2,2db4aa8f-fc12-4235-bef8-ea1563099139,69,69.0,OUTGOING
687,2025-05-14 17:54:00,calls,2,2db4aa8f-fc12-4235-bef8-ea1563099139,102,102.0,OUTGOING
685,2025-05-14 17:56:00,calls,1,109bfddc-c0a1-48d3-95ac-d56cda1dd4f2,7,7.0,INCOMING
687,2025-05-14 18:11:00,calls,2,2f4d65ad-1cbc-427a-b714-078ed6a0378a,0,0.0,OUTGOING
678,2025-05-14 18:43:00,calls,1,1fa7f41d-6e98-4929-aead-4352ab02b7eb,34,34.0,INCOMING
668,2025-05-14 18:48:00,calls,1,98a2a78e-b9d3-4c12-a461-b34fb7cdf7e5,12,12.0,INCOMING
678,2025-05-14 19:11:00,calls,1,802cd306-038c-46b7-bee0-6ec6d31538f9,9,9.0,INCOMING
685,2025-05-14 19:14:00,calls,1,fd545ff8-6a44-4702-9824-4da3cc2b20e5,47,47.0,INCOMING
685,2025-05-14 19:29:00,calls,1,498bd431-6d31-4308-b15b-820c7c9aedbe,70,70.0,INCOMING
678,2025-05-14 19:37:00,calls,5,802cd306-038c-46b7-bee0-6ec6d31538f9,0,0.0,REJECTED
678,2025-05-14 19:38:00,calls,3,802cd306-038c-46b7-bee0-6ec6d31538f9,0,0.0,MISSED
685,2025-05-14 19:38:00,calls,1,87ac4f02-9f01-4388-8add-8325b64cd4dc,36,36.0,INCOMING
678,2025-05-14 19:39:00,calls,3,802cd306-038c-46b7-bee0-6ec6d31538f9,0,0.0,MISSED
678,2025-05-14 19:39:00,calls,3,802cd306-038c-46b7-bee0-6ec6d31538f9,0,0.0,MISSED
678,2025-05-14 19:40:00,calls,3,802cd306-038c-46b7-bee0-6ec6d31538f9,0,0.0,MISSED
678,2025-05-14 19:41:00,calls,3,802cd306-038c-46b7-bee0-6ec6d31538f9,0,0.0,MISSED
678,2025-05-14 19:42:00,calls,5,802cd306-038c-46b7-bee0-6ec6d31538f9,0,0.0,REJECTED
678,2025-05-14 19:42:00,calls,3,802cd306-038c-46b7-bee0-6ec6d31538f9,0,0.0,MISSED
685,2025-05-14 19:42:00,calls,1,87ac4f02-9f01-4388-8add-8325b64cd4dc,7,7.0,INCOMING
678,2025-05-14 19:42:00,calls,3,802cd306-038c-46b7-bee0-6ec6d31538f9,0,0.0,MISSED
678,2025-05-14 19:43:00,calls,3,802cd306-038c-46b7-bee0-6ec6d31538f9,0,0.0,MISSED
678,2025-05-14 19:43:00,calls,3,802cd306-038c-46b7-bee0-6ec6d31538f9,0,0.0,MISSED
685,2025-05-14 19:44:00,calls,2,87ac4f02-9f01-4388-8add-8325b64cd4dc,7,7.0,OUTGOING
678,2025-05-14 19:44:00,calls,3,802cd306-038c-46b7-bee0-6ec6d31538f9,0,0.0,MISSED
678,2025-05-14 19:45:00,calls,3,802cd306-038c-46b7-bee0-6ec6d31538f9,0,0.0,MISSED
685,2025-05-14 19:45:00,calls,2,87ac4f02-9f01-4388-8add-8325b64cd4dc,76,76.0,OUTGOING
678,2025-05-14 19:45:00,calls,3,802cd306-038c-46b7-bee0-6ec6d31538f9,0,0.0,MISSED
678,2025-05-14 19:46:00,calls,3,802cd306-038c-46b7-bee0-6ec6d31538f9,0,0.0,MISSED
678,2025-05-14 19:48:00,calls,3,802cd306-038c-46b7-bee0-6ec6d31538f9,0,0.0,MISSED
678,2025-05-14 19:48:00,calls,3,802cd306-038c-46b7-bee0-6ec6d31538f9,0,0.0,MISSED
678,2025-05-14 19:49:00,calls,3,802cd306-038c-46b7-bee0-6ec6d31538f9,0,0.0,MISSED
678,2025-05-14 19:50:00,calls,3,802cd306-038c-46b7-bee0-6ec6d31538f9,0,0.0,MISSED
678,2025-05-14 19:51:00,calls,3,08663c5c-3d0a-4e97-a0e6-4426c913330c,0,0.0,MISSED
678,2025-05-14 19:53:00,calls,3,802cd306-038c-46b7-bee0-6ec6d31538f9,0,0.0,MISSED
678,2025-05-14 19:54:00,calls,3,802cd306-038c-46b7-bee0-6ec6d31538f9,0,0.0,MISSED
678,2025-05-14 19:54:00,calls,3,802cd306-038c-46b7-bee0-6ec6d31538f9,0,0.0,MISSED
678,2025-05-14 19:55:00,calls,3,802cd306-038c-46b7-bee0-6ec6d31538f9,0,0.0,MISSED
678,2025-05-14 19:56:00,calls,3,802cd306-038c-46b7-bee0-6ec6d31538f9,0,0.0,MISSED
678,2025-05-14 19:56:00,calls,3,802cd306-038c-46b7-bee0-6ec6d31538f9,0,0.0,MISSED
678,2025-05-14 19:57:00,calls,3,802cd306-038c-46b7-bee0-6ec6d31538f9,0,0.0,MISSED
678,2025-05-14 19:58:00,calls,3,802cd306-038c-46b7-bee0-6ec6d31538f9,0,0.0,MISSED
678,2025-05-14 19:59:00,calls,3,802cd306-038c-46b7-bee0-6ec6d31538f9,0,0.0,MISSED
678,2025-05-14 20:00:00,calls,3,802cd306-038c-46b7-bee0-6ec6d31538f9,0,0.0,MISSED
670,2025-05-14 20:01:00,calls,5,5e64225a-85c5-4443-bf98-31ea94200215,0,0.0,REJECTED
678,2025-05-14 20:03:00,calls,3,802cd306-038c-46b7-bee0-6ec6d31538f9,0,0.0,MISSED
685,2025-05-14 20:07:00,calls,1,9b7425a4-3dd8-43e8-9730-ae09ffa7c0ab,44,44.0,INCOMING
685,2025-05-14 20:08:00,calls,2,9b7425a4-3dd8-43e8-9730-ae09ffa7c0ab,0,0.0,OUTGOING
685,2025-05-14 20:08:00,calls,2,9b7425a4-3dd8-43e8-9730-ae09ffa7c0ab,0,0.0,OUTGOING
678,2025-05-14 20:10:00,calls,3,802cd306-038c-46b7-bee0-6ec6d31538f9,0,0.0,MISSED
678,2025-05-14 20:11:00,calls,3,802cd306-038c-46b7-bee0-6ec6d31538f9,0,0.0,MISSED
670,2025-05-14 20:12:00,calls,2,5e64225a-85c5-4443-bf98-31ea94200215,114,114.0,OUTGOING
678,2025-05-14 20:12:00,calls,2,99c9809b-4b9c-4306-bc84-b8f1866f03fc,1618,1618.0,OUTGOING
678,2025-05-14 20:12:00,calls,3,802cd306-038c-46b7-bee0-6ec6d31538f9,0,0.0,MISSED
678,2025-05-14 20:13:00,calls,3,802cd306-038c-46b7-bee0-6ec6d31538f9,0,0.0,MISSED
678,2025-05-14 20:13:00,calls,3,802cd306-038c-46b7-bee0-6ec6d31538f9,0,0.0,MISSED
678,2025-05-14 20:14:00,calls,3,802cd306-038c-46b7-bee0-6ec6d31538f9,0,0.0,MISSED
678,2025-05-14 20:15:00,calls,3,802cd306-038c-46b7-bee0-6ec6d31538f9,0,0.0,MISSED
678,2025-05-14 20:15:00,calls,3,802cd306-038c-46b7-bee0-6ec6d31538f9,0,0.0,MISSED
678,2025-05-14 20:16:00,calls,3,802cd306-038c-46b7-bee0-6ec6d31538f9,0,0.0,MISSED
678,2025-05-14 20:17:00,calls,3,802cd306-038c-46b7-bee0-6ec6d31538f9,0,0.0,MISSED
678,2025-05-14 20:18:00,calls,3,802cd306-038c-46b7-bee0-6ec6d31538f9,0,0.0,MISSED
678,2025-05-14 20:18:00,calls,3,802cd306-038c-46b7-bee0-6ec6d31538f9,0,0.0,MISSED
678,2025-05-14 20:18:00,calls,3,802cd306-038c-46b7-bee0-6ec6d31538f9,0,0.0,MISSED
678,2025-05-14 20:19:00,calls,5,802cd306-038c-46b7-bee0-6ec6d31538f9,0,0.0,REJECTED
678,2025-05-14 20:19:00,calls,3,802cd306-038c-46b7-bee0-6ec6d31538f9,0,0.0,MISSED
678,2025-05-14 20:22:00,calls,3,802cd306-038c-46b7-bee0-6ec6d31538f9,0,0.0,MISSED
678,2025-05-14 20:23:00,calls,3,802cd306-038c-46b7-bee0-6ec6d31538f9,0,0.0,MISSED
678,2025-05-14 20:28:00,calls,3,f2fcfe42-e979-4146-83ca-e7e7456dd460,0,0.0,MISSED
678,2025-05-14 20:28:00,calls,2,85c4b6f1-9113-4532-a1d4-4b48d10e820f,639,639.0,OUTGOING
678,2025-05-14 20:28:00,calls,5,802cd306-038c-46b7-bee0-6ec6d31538f9,0,0.0,REJECTED
678,2025-05-14 20:28:00,calls,5,802cd306-038c-46b7-bee0-6ec6d31538f9,0,0.0,REJECTED
678,2025-05-14 20:29:00,calls,5,802cd306-038c-46b7-bee0-6ec6d31538f9,0,0.0,REJECTED
678,2025-05-14 20:29:00,calls,3,802cd306-038c-46b7-bee0-6ec6d31538f9,0,0.0,MISSED
678,2025-05-14 20:30:00,calls,3,802cd306-038c-46b7-bee0-6ec6d31538f9,0,0.0,MISSED
678,2025-05-14 20:32:00,calls,5,802cd306-038c-46b7-bee0-6ec6d31538f9,0,0.0,REJECTED
678,2025-05-14 20:33:00,calls,5,802cd306-038c-46b7-bee0-6ec6d31538f9,0,0.0,REJECTED
678,2025-05-14 20:33:00,calls,3,802cd306-038c-46b7-bee0-6ec6d31538f9,0,0.0,MISSED
678,2025-05-14 20:33:00,calls,3,802cd306-038c-46b7-bee0-6ec6d31538f9,0,0.0,MISSED
678,2025-05-14 20:34:00,calls,3,802cd306-038c-46b7-bee0-6ec6d31538f9,0,0.0,MISSED
678,2025-05-14 20:37:00,calls,3,802cd306-038c-46b7-bee0-6ec6d31538f9,0,0.0,MISSED
678,2025-05-14 20:42:00,calls,5,802cd306-038c-46b7-bee0-6ec6d31538f9,0,0.0,REJECTED
678,2025-05-14 20:42:00,calls,5,802cd306-038c-46b7-bee0-6ec6d31538f9,0,0.0,REJECTED
678,2025-05-14 20:43:00,calls,5,802cd306-038c-46b7-bee0-6ec6d31538f9,0,0.0,REJECTED
678,2025-05-14 20:43:00,calls,5,802cd306-038c-46b7-bee0-6ec6d31538f9,0,0.0,REJECTED
678,2025-05-14 20:43:00,calls,5,802cd306-038c-46b7-bee0-6ec6d31538f9,0,0.0,REJECTED
678,2025-05-14 20:46:00,calls,5,802cd306-038c-46b7-bee0-6ec6d31538f9,0,0.0,REJECTED
678,2025-05-14 20:47:00,calls,5,802cd306-038c-46b7-bee0-6ec6d31538f9,0,0.0,REJECTED
678,2025-05-14 20:47:00,calls,5,802cd306-038c-46b7-bee0-6ec6d31538f9,0,0.0,REJECTED
678,2025-05-14 20:49:00,calls,5,802cd306-038c-46b7-bee0-6ec6d31538f9,0,0.0,REJECTED
678,2025-05-14 20:49:00,calls,5,802cd306-038c-46b7-bee0-6ec6d31538f9,0,0.0,REJECTED
678,2025-05-14 20:49:00,calls,5,802cd306-038c-46b7-bee0-6ec6d31538f9,0,0.0,REJECTED
678,2025-05-14 20:49:00,calls,5,802cd306-038c-46b7-bee0-6ec6d31538f9,0,0.0,REJECTED
678,2025-05-14 20:50:00,calls,5,802cd306-038c-46b7-bee0-6ec6d31538f9,0,0.0,REJECTED
678,2025-05-14 20:50:00,calls,5,802cd306-038c-46b7-bee0-6ec6d31538f9,0,0.0,REJECTED
678,2025-05-14 20:50:00,calls,5,802cd306-038c-46b7-bee0-6ec6d31538f9,0,0.0,REJECTED
678,2025-05-14 20:52:00,calls,5,802cd306-038c-46b7-bee0-6ec6d31538f9,0,0.0,REJECTED
678,2025-05-14 20:53:00,calls,5,802cd306-038c-46b7-bee0-6ec6d31538f9,0,0.0,REJECTED
678,2025-05-14 20:53:00,calls,5,802cd306-038c-46b7-bee0-6ec6d31538f9,0,0.0,REJECTED
678,2025-05-14 20:55:00,calls,5,802cd306-038c-46b7-bee0-6ec6d31538f9,0,0.0,REJECTED
678,2025-05-14 20:55:00,calls,5,802cd306-038c-46b7-bee0-6ec6d31538f9,0,0.0,REJECTED
678,2025-05-14 20:55:00,calls,5,802cd306-038c-46b7-bee0-6ec6d31538f9,0,0.0,REJECTED
678,2025-05-14 20:55:00,calls,1,08663c5c-3d0a-4e97-a0e6-4426c913330c,52,52.0,INCOMING
678,2025-05-14 20:55:00,calls,5,802cd306-038c-46b7-bee0-6ec6d31538f9,0,0.0,REJECTED
678,2025-05-14 20:55:00,calls,5,802cd306-038c-46b7-bee0-6ec6d31538f9,0,0.0,REJECTED
678,2025-05-14 20:56:00,calls,5,802cd306-038c-46b7-bee0-6ec6d31538f9,0,0.0,REJECTED
678,2025-05-14 20:56:00,calls,5,802cd306-038c-46b7-bee0-6ec6d31538f9,0,0.0,REJECTED
678,2025-05-14 20:56:00,calls,5,802cd306-038c-46b7-bee0-6ec6d31538f9,0,0.0,REJECTED
678,2025-05-14 20:56:00,calls,5,802cd306-038c-46b7-bee0-6ec6d31538f9,0,0.0,REJECTED
678,2025-05-14 20:56:00,calls,5,802cd306-038c-46b7-bee0-6ec6d31538f9,0,0.0,REJECTED
678,2025-05-14 20:57:00,calls,1,802cd306-038c-46b7-bee0-6ec6d31538f9,274,274.0,INCOMING
678,2025-05-14 21:06:00,calls,1,3fc2b1a1-5b57-46cc-8d40-6045a8967be1,54,54.0,INCOMING
676,2025-05-14 21:13:00,calls,2,8dc24d94-1a7f-4b30-a51c-de3d1ccbb30e,95,95.0,OUTGOING
681,2025-05-14 21:40:00,calls,2,6a9918e7-e9db-48e5-860c-6da4908dd884,0,0.0,OUTGOING
681,2025-05-14 21:53:00,calls,2,0ae71787-974e-4c3c-bc08-865fa3d6cd59,0,0.0,OUTGOING
681,2025-05-14 21:56:00,calls,1,0ae71787-974e-4c3c-bc08-865fa3d6cd59,965,965.0,INCOMING
681,2025-05-14 22:14:00,calls,2,419ca6ad-870b-45bf-8188-e53e72790170,215,215.0,OUTGOING
678,2025-05-14 22:41:00,calls,2,802cd306-038c-46b7-bee0-6ec6d31538f9,0,0.0,OUTGOING
678,2025-05-14 22:41:00,calls,1,802cd306-038c-46b7-bee0-6ec6d31538f9,1161,1161.0,INCOMING
687,2025-05-14 22:45:00,calls,2,50e93d20-2f9d-40da-a737-a4ef03c60724,33,33.0,OUTGOING
687,2025-05-14 22:47:00,calls,2,50e93d20-2f9d-40da-a737-a4ef03c60724,129,129.0,OUTGOING
678,2025-05-14 22:52:00,calls,3,08663c5c-3d0a-4e97-a0e6-4426c913330c,0,0.0,MISSED
687,2025-05-14 22:53:00,calls,2,a1945f2c-5a5b-483a-a6a0-25dda45e6e80,0,0.0,OUTGOING
678,2025-05-14 22:56:00,calls,1,08663c5c-3d0a-4e97-a0e6-4426c913330c,1508,1508.0,INCOMING
678,2025-05-14 23:17:00,calls,3,802cd306-038c-46b7-bee0-6ec6d31538f9,0,0.0,MISSED
678,2025-05-14 23:22:00,calls,2,802cd306-038c-46b7-bee0-6ec6d31538f9,1833,1833.0,OUTGOING
681,2025-05-14 23:34:00,calls,1,6a9918e7-e9db-48e5-860c-6da4908dd884,38,38.0,INCOMING
681,2025-05-15 00:06:00,calls,2,6a9918e7-e9db-48e5-860c-6da4908dd884,110,110.0,OUTGOING
687,2025-05-15 08:00:00,calls,2,50e93d20-2f9d-40da-a737-a4ef03c60724,17,17.0,OUTGOING
687,2025-05-15 08:01:00,calls,1,50e93d20-2f9d-40da-a737-a4ef03c60724,391,391.0,INCOMING
687,2025-05-15 08:15:00,calls,2,50e93d20-2f9d-40da-a737-a4ef03c60724,93,93.0,OUTGOING
687,2025-05-15 08:16:00,calls,3,50ad0ac6-0080-4d53-bfba-4b98e242c098,0,0.0,MISSED
687,2025-05-15 08:17:00,calls,2,50ad0ac6-0080-4d53-bfba-4b98e242c098,533,533.0,OUTGOING
687,2025-05-15 08:31:00,calls,1,50ad0ac6-0080-4d53-bfba-4b98e242c098,502,502.0,INCOMING
670,2025-05-15 08:32:00,calls,2,5e64225a-85c5-4443-bf98-31ea94200215,0,0.0,OUTGOING
687,2025-05-15 08:36:00,calls,1,50e93d20-2f9d-40da-a737-a4ef03c60724,220,220.0,INCOMING
687,2025-05-15 08:40:00,calls,2,50ad0ac6-0080-4d53-bfba-4b98e242c098,654,654.0,OUTGOING
678,2025-05-15 08:48:00,calls,2,0120a79d-faeb-4733-9f86-81b8490211b2,0,0.0,OUTGOING
678,2025-05-15 08:49:00,calls,2,0e4ec403-bc1b-4200-9bb6-d1ae230b06f3,51,51.0,OUTGOING
681,2025-05-15 08:51:00,calls,2,784adb9d-8a63-4f0e-8567-9a42f228d5d2,0,0.0,OUTGOING
