uid,datetime,type,sub_type,suuid,value,level,sensor_status
668,2025-05-29 22:33:46,calls,1,dce20436-bff2-4396-aa12-85d5a29574d0,49,49.0,INCOMING
676,2025-05-29 22:49:37,calls,2,72b4bdf3-11ef-4007-a3b1-3b17b95190fa,8,8.0,OUTGOING
678,2025-05-30 09:38:44,calls,2,3fc2b1a1-5b57-46cc-8d40-6045a8967be1,156,156.0,OUTGOING
678,2025-05-30 11:15:20,calls,1,3fc2b1a1-5b57-46cc-8d40-6045a8967be1,39,39.0,INCOMING
678,2025-05-30 12:06:34,calls,2,3fc2b1a1-5b57-46cc-8d40-6045a8967be1,30,30.0,OUTGOING
678,2025-05-30 12:24:22,calls,2,3fc2b1a1-5b57-46cc-8d40-6045a8967be1,38,38.0,OUTGOING
685,2025-05-30 12:33:30,calls,2,c0d38da3-f9ab-4fae-a0fb-183fcb0f3026,10,10.0,OUTGOING
681,2025-05-30 12:47:50,calls,3,6a9918e7-e9db-48e5-860c-6da4908dd884,18,18.0,MISSED
685,2025-05-30 12:48:28,calls,1,c0d38da3-f9ab-4fae-a0fb-183fcb0f3026,18,18.0,INCOMING
681,2025-05-30 12:49:07,calls,3,6a9918e7-e9db-48e5-860c-6da4908dd884,26,26.0,MISSED
